"Kod";"Nazwa";"Płeć";"Kraj obywatelstwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1600000;"OPOLSKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Holandia";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Indie";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Japonia";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Kazachstan";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Litwa";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Mongolia";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Niemcy";"2011";608;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Rosja";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Rumunia";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Serbia";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Stany Zjednoczone";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Szwecja";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Turcja";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Ukraina";"2011";499;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Węgry";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Wielka Brytania";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Wietnam";"2011";0;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"Włochy";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"bezpaństwowcy";"2011";42;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"obywatelstwo nieustalone";"2011";262;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Armenia";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Austria";"2011";0;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"Białoruś";"2011";0;"osoba";"";
